g,p,rtgs
ขบวนแห่,Ka-2 bRn1 hY-2,khabuanhae
ขบเขี้ยวเคี้ยวฟัน,Kop2 KJw3 KJw4 fan1,khopkhiaokhiaofan
ขบเคี้ยว,Kop2 KJw4,khopkhiao
ขบไม่แตก,Kop2 maj3 tYk2,khopmaitaek
ขมขื่น,Kom5 KVn2,khomkhuen
ขมวด,Ka-2 mRt2,khamuat
ขมวดคิ้ว,Ka-2 mRt2 Kiw4,khamuatkhio
ขมอง,Ka-2 mXN5,khamong
ขมอย,Ka-2 mXj1,khamoi
ขมักเขม้น,Ka-1 mak2 Ka-1 mEn3,khamakkhamen
ขมัง,Ka-2 maN5,khamang
ขมับ,Ka-2 map2,khamap
ขมา,Ka-2 mA-1,khama
ขมิบ,Ka-2 mip2,khamip
ขมิ้น,Ka-2 min3,khamin
ขมีขมัน,Ka-2 mI-5 Ka-2 man5,khamikhaman
ขมึง,Ka-2 mvN5,khamueng
ขมึงทึง,Ka-2 mvN5 TvN1,khamuengthueng
ขมุ,Ka-2 mu?2,khamu
ขมุกขมัว,Ka-2 muk2 Ka-2 mR-5,khamukkhamua
ขมุบ,Ka-2 mup2,khamup
ขมุบขมิบ,Ka-2 mup2 Ka-2 mip2,khamupkhamip
ขมเป็นยา,Kom5 pen1 jA-1,khompenya
ขม่อม,Ka-2 mXm2,khamom
ขม้ำ,Ka-2 mam3,khamam
ขยด,Ka-2 jot2,khayot
ขยม,Ka-2 jom5,khayom
ขยล,Ka-2 jon5,khayon
ขยอก,Ka-2 jXk2,khayok
ขยอง,Ka-2 jXN5,khayong
ขยะ,Ka-2 ja?2,khaya
ขยะมูลฝอย,Ka-2 ja?2 mUn1 fXj5,khayamunfoi
ขยะสังคม,Ka-2 ja?2 saN5 Kom1,khayasangkhom
ขยะแขยง,Ka-2 ja?2 Ka-2 jYN5,khayakhayaeng
ขยัก,Ka-2 jak2,khayak
ขยักขย่อน,Ka-2 jak2 Ka-2 jXn2,khayakkhayon
ขยัน,Ka-2 jan5,khayan
ขยันขันแข็ง,Ka-2 jan5 Kan5 KyN5,khayankhankhaeng
ขยันหมั่นเพียร,Ka-2 jan5 man2 PJn1,khayanmanphian
ขยับ,Ka-2 jap2,khayap
ขยับขยาย,Ka-2 jap2 Ka-1 jAj5,khayapkhayai
ขยับตัว,Ka-2 jap2 tR-1,khayaptua
ขยับเขยื้อน,Ka-2 jap2 Ka-2 jWn3,khayapkhayuean
ขยั้น,Ka-2 jan3,khayan
ขยาด,Ka-2 jAt2,khayat
ขยาย,Ka-1 jAj5,khayai
ขยายกิจการ,Ka-2 jAj5 kit2 ca-2 kAn1,khayaikitchakan
ขยายความ,Ka-1 jAj5 KwAm1,khayaikhwam
ขยายตัว,Ka-1 jAj5 tR-1,khayaitua
ขยายผล,Ka-1 jAj5 Pon5,khayaiphon
ขยายพันธุ์,Ka-1 jAj5 Pan1,khayaiphan
ขยายอำนาจ,Ka-2 jAj5 ?am1 nAt3,khayaiamnat
ขยายเวลา,Ka-1 jAj5 wE-1 lA-1,khayaiwela
ขยายเสียง,Ka-1 jAj5 sJN5,khayaisiang
ขยำ,Ka-2 jam5,khayam
ขยิก,Ka-1 jik2,khayik
ขยิบ,Ka-2 jip2,khayip
ขยิบตา,Ka-2 jip2 tA-1,khayipta
ขยี้,Ka-2 jI-3,khayi
ขยี้ตา,Ka-2 jI-3 tA-1,khayita
ขยุกขยิก,Ka-2 juk2 Ka-2 jik2,khayukkhayik
ขยุกขยุย,Ka-2 juk2 Ka-2 juj5,khayukkhayui
ขยุบ,Ka-2 jup2,khayup
ขยุ้ม,Ka-2 jum3,khayum
ขย่ม,Ka-2 jom2,khayom
ขย่อน,Ka-2 jXn2,khayon
ขย้อน,Ka-2 jXn3,khayon
ขย้ำ,Ka-2 jam3,khayam
ขรม,Ka-2 rom5,kharom
ขรุขระ,Kru?2 Kra?2,khrukhra
ขลาดกลัว,KlAt2 klR-1,khlatklua
ขลุกขลัก,Kluk2 Klak2,khlukkhlak
ขลุกขลิก,Kluk2 Klik2,khlukkhlik
ขลุกขลุ่ย,Kluk2 Kluj2,khlukkhlui
ขลุ่ยอู้,Kluj2 ?U-3,khluiu
ขวดนม,KRt2 nom1,khuatnom
ขวดโหล,KRt2 lO-5,khuatlo
ขวนขวาย,KRn5 KwAj5,khuankhwai
ขวยเขิน,KRj5 KZn5,khuaikhoen
ขวยใจ,KRj5 caj1,khuaichai
ขวักไขว่,Kwak2 Kwaj2,khwakkhwai
ขวัญดี,Kwan5 dI-1,khwandi
ขวัญตา,Kwan5 tA-1,khwanta
ขวัญบิน,Kwan5 bin1,khwanbin
ขวัญหนี,Kwan5 nI-5,khwanni
ขวัญหนีดีฝ่อ,Kwan5 nI-5 dI-1 fX-2,khwannidifo
ขวัญหาย,Kwan5 hAj5,khwanhai
ขวัญอ่อน,Kwan5 ?Xn2,khwanon
ขวัญเสีย,Kwan5 sJ-5,khwansia
ขวัญใจ,Kwan5 caj1,khwanchai
ขวากหนาม,KwAk2 nAm5,khwaknam
ขวางกั้น,KwAN5 kan3,khwangkan
ขวางทาง,KwAN5 TAN1,khwangthang
ขวางหูขวางตา,KwAN5 hU-5 KwAN5 tA-1,khwanghukhwangta
ขวางโลก,KwAN5 lOk3,khwanglok
ขวามือ,KwA-5 mV-1,khwamue
ขวายขวน,KwAj5 KRn5,khwaikhuan
ขว้างปา,KwAN3 pA-1,khwangpa
ขอขมา,KX-5 Ka-2 mA-1,khokhama
ขอความกรุณา,KX-5 KwAm1 ka-2 ru?4 nA-1,khokhwamkaruna
ขอความช่วยเหลือ,KX-5 KwAm1 CRj3 lW-5,khokhwamchuailuea
ขอความร่วมมือ,KX-5 KwAm1 rRm3 mV-1,khokhwamruammue
ขอความเห็น,KX-5 KwAm1 hen5,khokhwamhen
ขอความเห็นชอบ,KX-5 KwAm1 hen5 CXp3,khokhwamhenchop
ของกลาง,KXN5 klAN1,khongklang
ของกำนัล,KXN5 kam1 nan1,khongkamnan
ของกิน,KXN5 kin1,khongkin
ของขบเคี้ยว,KXN5 Kop2 KJw4,khongkhopkhiao
ของขลัง,KXN5 KlaN5,khongkhlang
ของขวัญ,KXN5 Kwan5,khongkhwan
ของคาว,KXN5 KAw1,khongkhao
ของจริง,KXN5 ciN1,khongching
ของจำเป็น,KXN5 cam1 pen1,khongchampen
ของชำ,KXN5 Cam1,khongcham
ของชำร่วย,KXN5 Cam1 rRj3,khongchamruai
ของดี,KXN5 dI-1,khongdi
ของตลาด,KXN5 ta-2 lAt2,khongtalat
ของถวาย,KXN5 Ta-2 wAj5,khongthawai
ของที่ระลึก,KXN5 TI-3 ra?4 lvk4,khongthiraluek
ของธรรมดา,KXN5 Tam1 ma-1 dA-1,khongthammada
ของปลอม,KXN5 plXm1,khongplom
ของผสม,KXN5 Pa-1 som5,khongphasom
ของฝาก,KXN5 fAk2,khongfak
ของฟุ่มเฟือย,KXN5 fum3 fWj1,khongfumfueai
ของมีคม,KXN5 mI-1 Kom1,khongmikhom
ของมึนเมา,KXN5 mvn1 maw1,khongmuenmao
ของรักของหวง,KXN5 rak4 KXN5 hRN5,khongrakkhonghuang
ของรับไหว้,KXN5 rap4 waj3,khongrapwai
ของรางวัล,KXN5 rAN1 wan1,khongrangwan
ของลับ,KXN5 lap4,khonglap
ของว่าง,KXN5 wAN3,khongwang
ของสงวน,KXN5 sa-1 NRn5,khongsanguan
ของสด,KXN5 sot2,khongsot
ของสดของคาว,KXN5 sot2 KXN5 KAw1,khongsotkhongkhao
ของสูง,KXN5 sUN5,khongsung
ของหวาน,KXN5 wAn5,khongwan
ของเก่า,KXN5 kaw2,khongkao
ของเด็กเล่น,KXN5 dek2 len3,khongdeklen
ของเถื่อน,KXN5 TWn2,khongthuean
ของเทียม,KXN5 TJm1,khongthiam
ของเล่น,KXN5 len3,khonglen
ของเสีย,KXN5 sJ-5,khongsia
ของเหลว,KXN5 lEw5,khongleo
ของเหลือ,KXN5 lW-5,khongluea
ของแข็ง,KXN5 KyN5,khongkhaeng
ของแถม,KXN5 TYm5,khongthaem
ของแท้,KXN5 TY-4,khongthae
ของแปลก,KXN5 plYk2,khongplaek
ของแสลง,KXN5 sa-1 lYN5,khongsalaeng
ของแห้ง,KXN5 hYN3,khonghaeng
ของโจร,KXN5 cOn1,khongchon
ของโปรด,KXN5 prOt2,khongprot
ของใช้,KXN5 Caj4,khongchai
ของใช้ส่วนตัว,KXN5 Caj4 sRn2 tR-1,khongchaisuantua
ของไหล,KXN5 laj5,khonglai
ขอช้าง,KX-5 CAN4,khochang
ขอดค่อน,KXt2 KXn3,khotkhon
ขอดเกล็ด,KXt2 klet2,khotklet
ขอตัว,KX-5 tR-1,khotua
ขอทาง,KX-5 TAN1,khothang
ขอทาน,KX-5 TAn1,khothan
ขอที,KX-5 TI-1,khothi
ขอนแก่น,KXn5 kyn2,khonkaen
ขอนไม้,KXn5 mAj4,khonmai
ขอบข่าย,KXp2 KAj2,khopkhai
ขอบคุณ,KXp2 Kun1,khopkhun
ขอบตา,KXp2 tA-1,khopta
ขอบพระคุณ,KXp2 Pra-4 Kun1,khopphrakhun
ขอบฟ้า,KXp2 fA-4,khopfa
ขอบเขต,KXp2 KEt2,khopkhet
ขอบใจ,KXp2 caj1,khopchai
ขอประทาน,KX-5 pra-1 TAn1,khoprathan
ขอประทานโทษ,KX-5 pra-1 TAn1 TOt3,khoprathanthot
ขอพระราชทาน,KX-5 Pra-4 rAt3 Ca-1 TAn1,khophraratchathan
ขอยืม,KX-5 jVm1,khoyuem
ขอรับ,KX-5 rap4,khorap
ขอรับกระผม,KX-5 rap4 kra-1 Pom5,khorapkraphom
ขอร้อง,KX-5 rXN4,khorong
ขอษมา,KX-5 sa-1 mA-1,khosama
ขออนุญาต,KX-5 ?a-2 nu?4 jAt3,khoanuyat
ขออนุมัติ,KX-5 ?a-2 nu?1 mat4,khoanumat
ขออภัย,KX-5 ?a-2 Paj1,khoaphai
ขอเสียที,KX-5 sJ-4 TI-1,khosiathi
ขอแรง,KX-5 rYN1,khoraeng
ขอแสดงความยินดี,KX-5 sa-1 dYN1 KwAm1 jin1 dI-1,khosadaengkhwamyindi
ขอโทษ,KX-5 TOt3,khothot
ขอให้,KX-5 haj3,khohai
ขอไปที,KX-5 paj1 TI-1,khopaithi
ขะมักเขม้น,Ka?2 mak4 Ka-2 men3,khamakkhamen
ขัณฑสีมา,Kan5 Ta-4 sI-5 mA-1,khanthasima
ขัดขวาง,Kat2 KwAN5,khatkhwang
ขัดขา,Kat2 KA-5,khatkha
ขัดขืน,Kat2 KVn5,khatkhuen
ขัดข้อง,Kat2 KXN3,khatkhong
ขัดคอ,Kat2 KX-1,khatkho
ขัดคำสั่ง,Kat2 Kam1 saN2,khatkhamsang
ขัดจังหวะ,Kat2 caN1 wa?2,khatchangwa
ขัดตา,Kat2 tA-1,khatta
ขัดตาทัพ,Kat2 tA-1 Tap4,khattathap
ขัดต่อ,Kat2 tX-2,khatto
ขัดถู,Kat2 TU-5,khatthu
ขัดสน,Kat2 son5,khatson
ขัดสมาธิ,Kat2 sa-1 mA-1 Ti?4,khatsamathi
ขัดสี,Kat2 sI-5,khatsi
ขัดหู,Kat2 hU-5,khathu
ขัดเกลา,Kat2 klaw1,khatklao
ขัดเขิน,Kat2 KZn5,khatkhoen
ขัดเคือง,Kat2 KWN1,khatkhueang
ขัดเงา,Kat2 Naw1,khatngao
ขัดเบา,Kat2 baw1,khatbao
ขัดแข้งขัดขา,Kat2 KYN3 Kat2 KA-5,khatkhaengkhatkha
ขัดแย้ง,Kat2 jYN4,khatyaeng
ขัดใจ,Kat2 caj1,khatchai
ขัตติย,Kat2 ti-2 ja?4,khattiya
ขันติ,Kan5 ti?2,khanti
ขันติธรรม,Kan5 ti?2 Tam1,khantitham
ขันที,Kan5 TI-1,khanthi
ขันน้ำ,Kan5 nAm4,khannam
ขันหมาก,Kan5 mAk2,khanmak
ขันอาสา,Kan5 ?A-1 sA-5,khanasa
ขันแข็ง,Kan5 KyN5,khankhaeng
ขันโตก,Kan5 tOk2,khantok
ขับกล่อม,Kap2 klXm2,khapklom
ขับขาน,Kap2 KAn5,khapkhan
ขับขี่,Kap2 KI-2,khapkhi
ขับถ่าย,Kap2 TAj2,khapthai
ขับรถ,Kap2 rot4,khaprot
ขับร้อง,Kap2 rXN4,khaprong
ขับเคลื่อน,Kap2 KlWn3,khapkhluean
ขับเคลื่อนด้วย,Kap2 KlWn3 dRj3,khapkhlueanduai
ขับเคี่ยว,Kap2 KJw3,khapkhiao
ขับไล่,Kap2 laj3,khaplai
ขับไล่ไสส่ง,Kap2 laj3 saj5 soN2,khaplaisaisong
ขั้นตอน,Kan3 tXn1,khanton
ขั้นตอนวิธี,Kan3 tXn1 wi?4 TI-1,khantonwithi
ขั้นต่ำ,Kan3 tam2,khantam
ขั้นต้น,Kan3 ton3,khanton
ขั้นบันได,Kan3 ban1 daj1,khanbandai
ขั้นพื้นฐาน,Kan3 PVn4 TAn5,khanphuenthan
ขั้นสุดท้าย,Kan3 sut2 TAj4,khansutthai
ขั้นสูง,Kan3 sUN5,khansung
ขั้นสูงสุด,Kan3 sUN5 sut2,khansungsut
ขั้นอันตราย,Kan3 ?an1 ta-2 rAj1,khanantarai
ขั้นแรก,Kan3 rYk3,khanraek
ขั้วลบ,KR-3 lop4,khualop
ขั้วโลก,KR-3 lOk3,khualok
ขั้วโลกเหนือ,KR-3 lOk3 nW-5,khualoknuea
ขั้วโลกใต้,KR-3 lOk3 tAj3,khualoktai
ขากรรไกร,KA-5 kan1 kraj1,khakankrai
ขากลับ,KA-5 klap2,khaklap
ขาจร,KA-5 cXn1,khachon
ขาดกัน,KAt2 kan1,khatkan
ขาดการติดต่อ,KAt2 kAn1 tit2 tX-2,khatkantitto
ขาดคราว,KAt2 KrAw1,khatkhrao
ขาดความมั่นใจ,KAt2 KwAm1 man3 caj1,khatkhwammanchai
ขาดช่วง,KAt2 CRN3,khatchuang
ขาดดุล,KAt2 dun1,khatdun
ขาดดุลการค้า,KAt2 dun1 kAn1 KA-4,khatdunkankha
ขาดตกบกพร่อง,KAt2 tok2 bok2 PrXN3,khattokbokphrong
ขาดตลาด,KAt2 ta-2 lAt2,khattalat
ขาดตัว,KAt2 tR-1,khattua
ขาดทุน,KAt2 Tun1,khatthun
ขาดมือ,KAt2 mV-1,khatmue
ขาดวิ่น,KAt2 win3,khatwin
ขาดสติ,KAt2 sa-1 ti?2,khatsati
ขาดสอบ,KAt2 sXp2,khatsop
ขาดสะบั้น,KAt2 sa?2 ban3,khatsaban
ขาดสารอาหาร,KAt2 sAn5 ?A-1 hAn5,khatsanahan
ขาดหาย,KAt2 hAj5,khathai
ขาดเงิน,KAt2 Nzn1,khatngoen
ขาดเรียน,KAt2 rJn1,khatrian
ขาดเหลือ,KAt2 lW-5,khatluea
ขาดแคลน,KAt2 KlYn1,khatkhlaen
ขาดใจ,KAt2 caj1,khatchai
ขาดใจตาย,KAt2 caj1 tAj1,khatchaitai
ขาดไม่ได้,KAt2 maj3 daj3,khatmaidai
ขานชื่อ,KAn5 CV-3,khanchue
ขานรับ,KAn5 rap4,khanrap
ขานไข,KAn5 Kaj5,khankhai
ขาประจำ,KA-5 pra-1 cam1,khapracham
ขายของ,KAj5 KXN5,khaikhong
ขายชาติ,KAj5 CAt3,khaichat
ขายดิบขายดี,KAj5 dip2 KAj5 dI-1,khaidipkhaidi
ขายทอดตลาด,KAj5 TXt3 ta-2 lAt2,khaithottalat
ขายปลีก,KAj5 plIk2,khaiplik
ขายผ้าเอาหน้ารอด,KAj5 PA-3 ?aw1 nA-3 rXt3,khaiphaaonarot
ขายฝาก,KAj5 fAk2,khaifak
ขายส่ง,KAj5 soN2,khaisong
ขายหน้า,KAj5 nA-3,khaina
ขายหน้าขายตา,KAj5 nA-3 KAj5 tA-1,khainakhaita
ขายเชื่อ,KAj5 CW-3,khaichuea
ขายเลหลัง,KAj5 lE-1 laN5,khailelang
ขายเหมา,KAj5 maw5,khaimao
ขายไม่ออก,KAj5 maj3 ?Xk2,khaimaiok
ขาลาก,KA-5 lAk3,khalak
ขาวจั๊วะ,KAw5 cR?4,khaochua
ขาวม้า,KAw5 mA-4,khaoma
ขาหนีบ,KA-5 nIp2,khanip
ขาหยั่ง,KA-5 jaN2,khayang
ขาออก,KA-5 ?Xk2,khaok
ขาอ่อน,KA-5 ?Xn2,khaon
ขาเข้า,KA-5 Kaw3,khakhao
ขาแข้ง,KA-5 KYN3,khakhaeng
ขาโจ๋,KA-5 cO-5,khacho
ขาไพ่,KA-5 Paj3,khaphai
ขำกลิ้ง,Kam5 kliN3,khamkling
ขำขัน,Kam5 Kan5,khamkhan
ขีดความสามารถ,KIt2 KwAm1 sA-5 mAt3,khitkhwamsamat
ขีดฆ่า,KIt2 KA-3,khitkha
ขีดจำกัด,KIt2 cam1 kat2,khitchamkat
ขีดเขียน,KIt2 KJn5,khitkhian
ขีดเส้นตาย,KIt2 sen3 tAj1,khitsentai
ขีดเส้นใต้,KIt2 sen3 taj3,khitsentai
ขีปนาวุธ,KI-5 pa-2 nA-1 wut4,khipanawut
ขีปนาวุธนำวิถี,KI-5 pa-2 nA-1 wut4 nam1 wi?4 TI-5,khipanawutnamwithi
ขี่ม้า,KI-2 mA-4,khima
ขี่ม้าตีคลี,KI-2 mA-4 tI-1 KlI-1,khimatikhli
ขี่ม้าส่งเมือง,KI-2 mA-4 soN2 mWN1,khimasongmueang
ขี้กบ,KI-3 kop2,khikop
ขี้กลัว,KI-3 klR-1,khiklua
ขี้กลาก,KIk3 lAk3,khiklak
ขี้กะโล้โท้,KI-3 ka-1 lO-4 TO-4,khikalotho
ขี้ขลาด,KI-3 KlAt2,khikhlat
ขี้ขโมย,KI-3 Ka-2 mOj1,khikhamoi
ขี้ข้า,KI-3 KA-3,khikha
ขี้ครอก,KI-3 KrXk3,khikhrok
ขี้ครั่ง,KI-3 KraN3,khikhrang
ขี้คร้าน,KI-3 KrAn4,khikhran
ขี้ควาย,KI-3 KwAj1,khikhwai
ขี้คุก,KI-3 Kuk4,khikhuk
ขี้คุย,KI-3 Kuj1,khikhui
ขี้งอน,KI-3 NXn1,khingon
ขี้ฉ้อ,KI-3 CX-3,khicho
ขี้ฉ้อตอแหล,KI-3 CX-3 tX-1 lY-5,khichotolae
ขี้ตะกอน,KI-3 ta-1 kXn1,khitakon
ขี้ตา,KI-3 tA-1,khita
ขี้ตืด,KI-3 tVt2,khituet
ขี้ตื่น,KI-3 tVn2,khituen
ขี้ตู่,KI-3 tU-2,khitu
ขี้ถัง,KI-3 TaN5,khithang
ขี้นก,KI-3 nok4,khinok
ขี้บ่น,KI-3 bon2,khibon
ขี้ปด,KI-3 pot2,khipot
ขี้ปะติ๋ว,KI-3 pa?2 tiw5,khipatio
ขี้ปาก,KI-3 pAk2,khipak
ขี้ผึ้ง,KI-3 PvN3,khiphueng
ขี้ฝุ่น,KI-3 fun2,khifun
ขี้มูก,KI-3 mUk3,khimuk
ขี้ยา,KI-3 jA-1,khiya
ขี้ระแวง,KI-3 ra?4 wYN1,khirawaeng
ขี้รังแค,KI-3 raN1 KY-1,khirangkhae
ขี้ริ้ว,KI-3 riw4,khirio
ขี้ริ้วขี้เหร่,KI-3 riw4 KI-3 re?2,khiriokhire
ขี้ลืม,KI-3 lVm1,khiluem
ขี้สงสัย,KI-3 soN5 saj5,khisongsai
ขี้สงสาร,KI-3 soN5 sAn5,khisongsan
ขี้หนู,KI-3 nU-5,khinu
ขี้หมูราขี้หมาแห้ง,KI-3 mU-5 rA-1 KI-3 mA-5 hYN3,khimurakhimahaeng
ขี้หลงขี้ลืม,KI-3 loN5 KI-3 lVm1,khilongkhiluem
ขี้หึง,KI-3 hvN5,khihueng
ขี้หู,KI-3 hU-5,khihu
ขี้อาย,KI-3 ?Aj1,khiai
ขี้อิจฉา,KI-3 ?it2 CA-5,khiitcha
ขี้อ้อน,KI-3 ?Xn3,khion
ขี้เกลือ,KI-3 klW-1,khikluea
ขี้เกียจ,KI-3 kJt2,khikiat
ขี้เกียจสันหลังยาว,KI-3 kJt2 san5 laN5 jAw1,khikiatsanlangyao
ขี้เขม่า,KI-3 Ka-2 maw2,khikhamao
ขี้เซา,KI-3 saw1,khisao
ขี้เถ้า,KI-3 Taw3,khithao
ขี้เทือก,KI-3 TWk3,khithueak
ขี้เท่อ,KI-3 TZ-3,khithoe
ขี้เป้,KI-3 pE-3,khipe
ขี้เมา,KI-3 maw1,khimao
ขี้เรื้อน,KI-3 rWn4,khiruean
ขี้เลื่อย,KI-3 lWj3,khilueai
ขี้เล่น,KI-3 len3,khilen
ขี้เหนียว,KI-3 nJw5,khiniao
ขี้เหร่,KI-3 re?2,khire
ขี้เหล้า,KI-3 law3,khilao
ขี้เหล้าเมายา,KI-3 law3 maw1 jA-1,khilaomaoya
ขี้แง,KI-3 NY-1,khingae
ขี้แพ้ชวนตี,KI-3 PY-4 CRn1 tI-1,khiphaechuanti
ขี้แย,KI-3 jY-1,khiyae
ขี้โกง,KI-3 kON1,khikong
ขี้โคลน,KI-3 KlOn1,khikhlon
ขี้โมโห,KI-3 mO-1 hO-5,khimoho
ขี้โม้,KI-3 mO-4,khimo
ขี้โรค,KI-3 rOk3,khirok
ขี้โอ่,KI-3 ?O-2,khio
ขี้ไคล,KI-3 Klaj1,khikhlai
ขี้ไต้,KI-3 taj3,khitai
ขึงขัง,KvN5 KaN5,khuengkhang
ขึงพืด,KvN5 PVt3,khuengphuet
ขึ้นกล้อง,Kvn3 klXN3,khuenklong
ขึ้นกับ,Kvn3 kap2,khuenkap
ขึ้นคอ,Kvn3 KX-1,khuenkho
ขึ้นคาน,Kvn3 KAn1,khuenkhan
ขึ้นฉ่าย,Kvn3 CAj2,khuenchai
ขึ้นชื่อ,Kvn3 CV-3,khuenchue
ขึ้นชื่อลือชา,Kvn3 CV-3 lV-1 CA-1,khuenchueluecha
ขึ้นชื่อลือนาม,Kvn3 CV-3 lV-1 nAm1,khuenchueluenam
ขึ้นต้น,Kvn3 ton3,khuenton
ขึ้นทะเบียน,Kvn3 Ta?4 bJn1,khuenthabian
ขึ้นบก,Kvn3 bok2,khuenbok
ขึ้นบัญชี,Kvn3 ban1 CI-1,khuenbanchi
ขึ้นบ้านใหม่,Kvn3 bAn3 maj2,khuenbanmai
ขึ้นปีใหม่,Kvn3 pI-1 maj2,khuenpimai
ขึ้นฝั่ง,Kvn3 faN2,khuenfang
ขึ้นรถ,Kvn3 rot4,khuenrot
ขึ้นระวาง,Kvn3 ra?4 wAN1,khuenrawang
ขึ้นรา,Kvn3 rA-1,khuenra
ขึ้นราคา,Kvn3 rA-1 KA-1,khuenrakha
ขึ้นศาล,Kvn3 sAn5,khuensan
ขึ้นสนิม,Kvn3 sa-1 nim5,khuensanim
ขึ้นสมอง,Kvn3 sa-1 mXN5,khuensamong
ขึ้นหน้า,Kvn3 nA-3,khuenna
ขึ้นหน้าขึ้นตา,Kvn3 nA-3 Kvn3 tA-1,khuennakhuenta
ขึ้นหิ้ง,Kvn3 hiN3,khuenhing
ขึ้นอยู่,Kvn3 jU-2,khuenyu
ขึ้นอยู่กับ,Kvn3 jU-2 kap2,khuenyukap
ขึ้นเงา,Kvn3 Naw1,khuenngao
ขึ้นเงิน,Kvn3 Nzn1,khuenngoen
ขึ้นเงินเดือน,Kvn3 Nzn1 dWn1,khuenngoenduean
ขึ้นเสียง,Kvn3 sJN5,khuensiang
ขึ้นแท่น,Kvn3 TYn3,khuenthaen
ขึ้นโรงขึ้นศาล,Kvn3 rON1 Kvn3 sAn5,khuenrongkhuensan
ขึ้นใจ,Kvn3 caj1,khuenchai
ขึ้นไป,Kvn3 paj1,khuenpai
ขืนใจ,KVn5 caj1,khuenchai
ขื่นขม,KVn2 Kom5,khuenkhom
ขื่อจมูก,KV-2 ca-1 mUk2,khuechamuk
ขุดคุ้ย,Kut2 Kuj4,khutkhui
ขุดค้น,Kut2 Kon4,khutkhon
ขุดดินกินหญ้า,Kut2 din1 kin1 jA-3,khutdinkinya
ขุดบ่อล่อปลา,Kut2 bX-2 lX-3 plA-1,khutbolopla
ขุดเจาะ,Kut2 cx?2,khutcho
ขุดโค่น,Kut2 KOn3,khutkhon
ขุนนาง,Kun5 nAN1,khunnang
ขุนน้ำขุนนาง,Kun5 nAm4 Kun5 nAN1,khunnamkhunnang
ขุนพล,Kun5 Pon1,khunphon
ขุนศึก,Kun5 svk2,khunsuek
ขุนเขา,Kun5 Kaw5,khunkhao
ขุนโจร,Kun5 cOn1,khunchon
ขุมขน,Kum5 Kon5,khumkhon
ขุมทรัพย์,Kum5 sap4,khumsap
ขุมสมบัติ,Kum5 som5 bat2,khumsombat
ขุ่นข้อง,Kun2 KXN3,khunkhong
ขุ่นข้องหมองใจ,Kun2 KXN3 mXN5 caj1,khunkhongmongchai
ขุ่นมัว,Kun2 mR-1,khunmua
ขุ่นหมอง,Kun2 mXN5,khunmong
ขุ่นเคือง,Kun2 KWN1,khunkhueang
ขุ่นใจ,Kun2 caj1,khunchai
ขูดรีด,KUt2 rIt3,khutrit
ขูดเลือด,KUt2 lWt3,khutlueat
ขู่กรรโชก,KU-2 kan1 COk3,khukanchok
ขู่ขวัญ,KU-2 Kwan5,khukhwan
ขู่เข็ญ,KU-2 Ken5,khukhen
ขโมย,Ka-2 mOj1,khamoi
ขโมยความคิด,Ka-2 mOj1 KwAm1 Kit4,khamoikhwamkhit
ข่มขวัญ,Kom2 Kwan5,khomkhwan
ข่มขี่,Kom2 KI-2,khomkhi
ข่มขืน,Kom2 KVn5,khomkhuen
ข่มขู่,Kom2 KU-2,khomkhu
ข่มจิต,Kom2 cit2,khomchit
ข่มหมู,Kom2 mU-5,khommu
ข่มอารมณ์,Kom2 ?A-1 rom1,khomarom
ข่มเหง,Kom2 hEN5,khomheng
ข่มใจ,Kom2 caj1,khomchai
ข่ายงาน,KAj2 NAn1,khaingan
ข่าวกรอง,KAw2 krXN1,khaokrong
ข่าวการเมือง,KAw2 kAn1 mWN1,khaokanmueang
ข่าวกีฬา,KAw2 kI-1 lA-1,khaokila
ข่าวคราว,KAw2 KrAw1,khaokhrao
ข่าวดี,KAw2 dI-1,khaodi
ข่าวด่วน,KAw2 dRn2,khaoduan
ข่าวพาดหัว,KAw2 PAt3 hR-5,khaophathua
ข่าวร้าย,KAw2 rAj4,khaorai
ข่าวลือ,KAw2 lV-1,khaolue
ข่าวล่า,KAw2 lA-3,khaola
ข่าวสด,KAw2 sot2,khaosot
ข่าวสั้น,KAw2 san3,khaosan
ข่าวสาร,KAw2 sAn5,khaosan
ข่าวโคมลอย,KAw2 KOm1 lXj1,khaokhomloi
ข่าวไม่มีมูล,KAw2 maj3 mI-1 mUn1,khaomaimimun
ข้นแค้น,Kon3 KYn4,khonkhaen
ข้อกฎหมาย,KX-3 kot2 mAj5,khokotmai
ข้อกติกา,KX-3 ka-2 ti?2 kA-1,khokatika
ข้อกล่าวหา,KX-3 klAw2 hA-5,khoklaoha
ข้อกล่าวอ้าง,KX-3 klAw2 ?AN3,khoklaoang
ข้อกังขา,KX-3 kaN1 KA-5,khokangkha
ข้อกำหนด,KX-3 kam1 not2,khokamnot
ข้อขัดข้อง,KX-3 Kat2 KXN3,khokhatkhong
ข้อขัดแย้ง,KX-3 Kat2 jYN4,khokhatyaeng
ข้อครหา,KX-3 Ka-4 ra-4 hA-5,khokharaha
ข้อควรระวัง,KX-3 KRn1 ra?4 waN1,khokhuanrawang
ข้อความ,KX-3 KwAm1,khokhwam
ข้อคิด,KX-3 Kit4,khokhit
ข้องเกี่ยว,KXN3 kJw2,khongkiao
ข้องแวะ,KXN3 wy?4,khongwae
ข้องใจ,KXN3 caj1,khongchai
