thai,phone
การระวังรักษา,
การรักษา,kAn1 rak4 sA-5
การรักษาการ,
การรัฐประหาร,
การรัด,
การรับจ้าง,
การรับใช้,
การรับทราบ,
การรับประกัน,kAn1 rap4 pra-1 kan1
การรับผิด,
การรับรู้,
การรับเสด็จ,
การรับเอา,
การรั่วไหล,
การรายงานผล,
การร่ายรำ,kAn1 rAj3 ram1
การรำ,
การรำพึง,
การรำลึก,
การรีดนม,
การรื้อ,
การรื้อปรับระบบ,
การรุกล้ำ,
การรุดหน้า,
การรู้จำ,
การ์เร็ต,
การเร้า,
การเรียง,kAn1 rJŋ1
การเรียงคำ,
การเรียงพิมพ์,
การเรียน,kAn1 rJn1
การเรียนรู้,kAn1 rJn1 rU-4
การเรียนหนังสือ,
การเรี่ยไร,
การเรือน,kAn1 rRn1
การลงแขก,kAn1 loŋ1 KYk2
การลงความเห็น,
การลงทุน,kAn1 loŋ1 Tun1
การลงนาม,
การลงรอยกัน,
การลงแรง,
การลดน้ำหนัก,
การลดราคา,kAn1 lot4 rA-1 KA-1
การลดหย่อน,kAn1 lot4 jXn2
การล้ม,
การล้มละลาย,kAn1 lom4 laʔ4 lAj1
การล้มเลิก,
การลวก,
การล่อ,kAn1 lX-3
การลอก,
การลอบสังหาร,kAn1 lXp3 saŋ5 hAn5
การลอยตัว,
การล่อลวงหญิง,
การล้อเล่น,
การล้อเลียน,
การละ,
การละคร,
การละทิ้ง,kAn1 laʔ4 Tiŋ4
การละลาย,kAn1 laʔ4 lAj1
การละเล่น,kAn1 laʔ4 len3
การละสายตา,
การลัก,
การลักพา,
การลา,
การลาก,kAn1 lAk3
การลากเส้น,
การล้างตา,
การล้างบาป,
การล่าสัตว์,
การลำเลิก,
การลำเลียง,
การล้ำหน้า,
การลิดรอน,
การลุก,
การลู่เข้า,
การลูบ,
การเล็ง,
การเล่นกีฬา,
การเล่นคำ,
การเล่นงาน,
การเล่นพรรคเล่นพวก,
การเล่นละคร,
การเล่นสนุก,
การเล่าเรียน,
การเลี่ยง,
การเลี้ยงชีพ,
การเลี้ยงชีวิต,
การเลี้ยงปศุสัตว์,
การเลือกตั้ง,kAn1 lRk3 taŋ3
การเลือกเฟ้น,
การแลก,
การวน,
การวางตำแหน่ง,
การวางท่า,
การวางผังเมือง,kAn1 wAŋ1 Paŋ5 mRŋ1
การวางแผน,kAn1 wAŋ1 PYn5
การวางแผนภาษา,
การวางฟอร์ม,
การวาดเขียน,
การวิก,
การวิเคราะห์งาน,
การวิเคราะห์เนื้อหา,
การวิ่งเต้น,
การวิจักษณ์,
การวิจัย,kAn1 wiʔ4 caj1
การวิจัยเชิงทดลอง,
การวิจัยพื้นฐาน,
การวิจัยร่วม,
การวิจัยและการพัฒนา,
การวินิจฉัย,kAn1 wiʔ4 nit4 Caj5
การวินิจฉัยโรค,
การวิพากษ์,
การวิวัฒนาการ,
การวิวาท,kAn1 wiʔ4 wAt3
การเวก,
การเวียนเทียน,
การศึก,
การศึกษา,kAn1 sɯk2 sA-5
การศึกษาเฉพาะกรณี,
การศึกษาต่อเนื่อง,
การศึกษาติดตามผล,
การศึกษานอกระบบ,kAn1 sɯk2 sA-5 nXk3 raʔ4 bop2
การศึกษานอกสถานที่,
การศึกษาผู้ใหญ่,
การศึกษาระดับสูง,
การสกัด,kAn1 sa-1 kat2
การส่งข้อมูลออก,
การสงคราม,kAn1 soŋ5 KrAm1
การสงวน,
การสงวนรักษา,
การส่งเสริมการเกษตร,
การส่งเสียง,
การส่งออก,kAn1 soŋ2 ʔXk2
การสดุดี,
การสนใจ,
การสนอง,
การสมมติ,
การสมรส,kAn1 som5 rot4
การสมสู่,
การสมัครงาน,
การสมาคม,
การสรรเสริญ,
การสร้างคำ,
การสร้างเมือง,
การสละ,
การสละราชสมบัติ,
การสลัก,
การสลัด,
การสลับ,
การสลายตัว,
การสวดมนต์,
การสวม,
การสอดส่อง,
การสอดใส่,kAn1 sXt2 saj2
การสอน,kAn1 sXn5
การสอบแข่งขัน,kAn1 sXp2 Kɛŋ2 Kan5
การสอบปากเปล่า,
การสอบย่อย,kAn1 sXp2 jXj3
การสะกดคำ,
การสะดุด,
การสังกัด,
การสังคมสงเคราะห์,
การสั่งซื้อ,
การสั่งสม,
การสังสรรค์,kAn1 saŋ5 san5
การสังหาร,
การสัญจร,
การสั่น,
การสันนิษฐาน,
การสับ,
การสับเปลี่ยน,
การสัมผัส,
การสัมพันธ์,
การสัมมนา,
การสาธารณสุข,
การสาธิต,
การสาน,kAn1 sAn5
การสาบาน,
การส่าย,
การสำนึก,
การสำรวจ,kAn1 sam5 rVt2
การสำรวจประชามติ,
การสำรอง,
การสำลัก,kAn1 sam5 lak4
การสี,
การสึกกร่อน,
การสึกหรอ,
การสืบเชื้อสาย,
การสืบทอด,
การสืบพันธุ์,
การสืบสวน,kAn1 sWp2 sVn5
การสืบสาน,
การสื่อสาร,kAn1 sW-2 sAn5
การสื่อสารแห่งประเทศไทย,kAn1 sW-2 sAn5 hɛŋ2 pra-1 TEt3 Taj1
การสุขาภิบาล,kAn1 suʔ2 KA-5 Piʔ4 bAn1
การสุ่มตัวอย่าง,
การสู้,kAn1 sU-3
การสู่ขอ,
การสูญเปล่า,
การสูญพันธุ์,
การสูญสิ้น,
การสูด,
การสูบ,
การเสก,
การเสนอแนะ,kAn1 saʔ2 nZ-5 nɛʔ4
การเสริมสวย,
การเสแสร้ง,
การเสาะหา,
การเสี่ยงโชค,
การเสื่อมสภาพ,
การเสื่อมสลาย,
การแสดง,kAn1 sa-1 dYŋ1
การแสดงความคิดเห็น,kAn1 sa-1 dYŋ1 KwAm1 Kit4 hen5
การแสดงความยินดี,kAn1 sa-1 dYŋ1 KwAm1 jin1 dI-1
การแสดงความหมาย,
การแสดงเจตนา,
การแสดงตัว,
การแสดงออก,kAn1 sa-1 dYŋ1 ʔXk2
การแสวง,
การแสวงหาประโยชน์,
การหด,
การหนังสือพิมพ์,
การหมกมุ่น,
การหมักหมม,
การหยอด,
การหยั่ง,
การหย่า,
การหยิบยก,
การหยิบยืม,
การหยุดพัก,kAn1 jut2 Pak4
การหล่อ,
การหลอก,
การหลอม,
การหลอมรวม,kAn1 lXm5 rVm1
การหลีก,
การหลุดพ้น,
การหวนกลับ,
การหว่าน,
การหักเห,kAn1 hak2 hE-5
การหันเห,
การหัวเราะ,kAn1 hV-5 rɔʔ4
การหากิน,
การหาปลา,
การหาม,kAn1 hAm5
การหายใจเข้า,
การหายใจออก,
การหารือ,
การหาเหตุ,
การหุงต้ม,
การหุ้ม,
การเหนี่ยวนำ,
การเหยียดหยาม,kAn1 jJt2 jAm5
การเหาะ,
การแห่,
การแหวก,
การโหยหา,
การให้กำเนิด,
การให้ความสะดวก,
การให้ทาน,kAn1 haj3 TAn1
การให้น้ำหนัก,
การให้เหตุผล,
การให้อภัย,
การอด,kAn1 ʔot2
การอธิบาย,
การอนุญาต,kAn1 ʔa-2 nuʔ4 jAt3
การอนุมัติ,
การอนุมาน,
การอนุรักษ์,kAn1 ʔa-2 nuʔ4 rak4
การอนุรักษ์ป่าไม้,
การอบรม,kAn1 ʔop2 rom1
การอพยพ,kAn1 ʔop2 Pa-4 jop4
การอภัย,
การอภัยโทษ,
การอยู่ไฟ,
การอยู่รอด,kAn1 jU-2 rXt3
การอยู่อาศัย,
การออกกฎหมาย,
การออกกำลังกาย,kAn1 ʔXk2 kam1 laŋ1 kAj1
การออกคำสั่ง,
การออกงาน,
การออกแบบนิเทศศิลป์,
การออกแบบผลิตภัณฑ์,
การออกไป,
การออกไฟ,
การออกเสียงประชามติ,
การออกเสียงเลือกตั้ง,
การออกอากาศ,
การอ้อนวอน,
การออม,kAn1 ʔXm1
การออมทรัพย์,
การอัญเชิญ,
การอัด,kAn1 ʔat2
การอาบน้ำ,
การอาราธนา,
การอาศัย,
การอำนวยความสะดวก,
การอำนวยพร,
การอำลา,kAn1 ʔam1 lA-1
การอิง,
การอุด,
การอุดมศึกษา,
การอุดหนุน,kAn1 ʔut2 nun5
การอุทิศ,kAn1 ʔuʔ2 Tit4
การอุบัติ,kAn1 ʔuʔ2 bat2
การอุปถัมภ์,
การอุปสมบท,
การเอ่ยถึง,kAn1 ʔZj2 Tɯŋ5
การเอาตัวรอด,
การเอาเปรียบ,
การเอารัดเอาเปรียบ,
การเอาอย่าง,
การแอบ,
การแอบดู,
การโอบอุ้ม,
การโอ่อวด,
การโอ้อวด,kAn1 ʔO-3 ʔVt2
การะเกด,
การะบุหนิง,
การัณย์,
การันต์,kA-1 ran1
การันตี,kA-1 ran1 tI-1
การางหัวขวาน,
การาไนน์,
การิตการก,
การิตวาจก,
การุญ,kA-1 run1
การุณ,
การุณย์,kA-1 run1
กาเรการ่อน,
กาเรียน,
กาเรียนทอง,
กาเรียนร้อง,
กาเรียนร่อน,
กาล,kAn1
กาลกรรณี,
กาลกิณี,kA-1 la-4 kiʔ2 nI-1
กาลกิริยา,
กาลจักร,
กาลเทศะ,kA-1 la-4 TE-1 saʔ2
กาลนาน,kA-1 laʔ4 nAn1
กาลโยค,
กาลเวลา,kAn1 wE-1 lA-1
กาลสมุตถาน,
กาลอ,
กาละแม,
กาลักน้ำ,
กาลัญญุตา,
กาลัญญู,
กาลัด,
กาลานุกาล,
กาลามสูตร,
กาลิก,
กาลิเลโอ,kA-1 liʔ4 lE-1 ʔO-1
กาลี,kA-1 lI-1
กาแล,kA-1 lY-1
กาแล็กซี,
กาแล็กซี่,
กาแลกโตส,
กาแล็กโตส,
กาแลกโทส,
กาแล็กโทส,
กาแลกูโบร์,
กาแลสะนอ,
กาว,kAw1
ก้าว,kAw3
ก้าวก่าย,kAw3 kAj2
ก้าวไกล,kAw3 klaj1
กาวใจ,kAw1 caj1
ก้าวเฉียง,
ก้าวเดิน,
ก้าวย่าง,
ก้าวร้าว,kAw3 rAw4
ก้าวล่วง,kAw3 lVŋ3
กาววาว,
ก้าวหน้า,kAw3 nA-3
กาวาง,
กาวิละ,
กาเวียน,
กาแวน,
กาศิก,
กาศิกพัสตร์,
กาษฐะ,
กาษา,
กาสร,kA-1 sXn5
กาสะ,
กาสัก,
กาสา,
กาสามปีก,
กาสาร,
กาสาวพัสตร์,kA-1 sA-5 wa-4 Pat4
กาสาวะ,
กาสิโน,kA-1 siʔ2 nO-1
กาหยีเขา,
กาหล,
กาหลง,kA-1 loŋ5
กาหลงรัง,
กาหลา,
กาหลิบ,
กาหัก,
กาเหว่า,
กาไหล่,kA-1 laj2
กาฬ,kAn1
กาฬจักร,
กาฬปักษ์,
กาฬปักษี,
กาฬพฤกษ์,
กาฬมุข,
กาฬโรค,kAn1 la-4 rOk3
กาฬวาต,
กาฬสินธ์,
กาฬสินธุ์,kA-1 la-4 sin5
กาฬาวก,
กาฬาวกหัตถี,
กาฮัง,
กำ,kam1
ก่ำ,kam2
ก้ำ,kam3
กำกวม,kam1 kVm1
กำกัด,kam1 kat2
กำกับ,kam1 kap2
ก้ำกึ่ง,kam3 kɯŋ2
กำกูน,
กำเกรียก,
ก้ำเกิน,kam3 kZn1
กำเกียง,
กำขี้ดีกว่ากำตด,
กำคูน,
ก่ำเคือ,
กำจร,
กำจัด,kam1 cat2
กำจัดต้น,
กำจาย,kam1 cAj1
กำชับ,kam1 Cap4
กำชับกำชา,kam1 Cap4 kam1 CA-1
กำชำ,
กำโชก,
กำซาบ,kam1 sAp3
กำซำ,
กำด้น,
กำดัด,kam1 dat2
กำดาล,
กำเดา,kam1 daw1
กำเดาะ,
ก่ำต้น,
กำตัด,
กำตาก,
กำถั่ว,
กำทวน,
กำทอน,
กำธร,
กำนล,
กำนัด,
กำนัน,kam1 nan1
กำนัล,kam1 nan1
กำเนิด,kam1 nZt2
กำเนียจ,
กำบด,
กำบน,
กำบัง,kam1 baŋ1
กำบัด,
กำบิด,
ก่ำบี้,
ก่ำบึ้ง,
กำเบ้อ,
ก่ำเบ้อ,
กำโบล,
กำปงเฌอเตียล,
กำปอ,
กำปั่น,kam1 pan2
กำปั้น,kam1 pan3
กำปั้นทุบดิน,kam1 pan3 Tup4 din1
กำปูเจียทะเมย,
กำผลา,
กำพง,
กำพด,kam1 Pot4
กำพต,
กำพร้า,kam1 PrA-4
กำพราก,kam1 PrAk3
กำพวด,
กำพอง,
กำพืด,kam1 PWt3
กำพุด,
กำพู,
กำเพลิง,
กำแพง,kam1 PYŋ1
กำแพ้ง,
กำแพงแก้ว,
กำแพงขาว,
กำแพงเขย่ง,
กำแพงเจ็ดชั้น,
กำแพงเพชร,kam1 PYŋ1 PEt3
กำแพงภาษี,
กำแพงมีหูประตูมีช่อง,
กำแพงมีหูประตูมีตา,
กำแพงเมือง,kam1 PYŋ1 mRŋ1
กำแพงเมืองจีน,kam1 PYŋ1 mRŋ1 cIn1
กำแพงเศียร,
กำภู,
กำม,
กำมพฤกษ์,
กำมลาศน์,
กำมเลศ,
กำมะถัน,kam1 maʔ4 Tan5
กำมะลอ,kam1 maʔ4 lX-1
กำมะหยี่,kam1 maʔ4 jI-2
กำมะหริด,kam1 maʔ4 rit2
กำมังละการ,
กำมังวิลิต,
กำมัชพล,
กำมือ,kam1 mW-1
กำยาน,kam1 jAn1
กำยำ,kam1 jam1
กำยำล่ำสัน,kam1 jam1 lam3 san5
กำรอ,
กำราก,
กำราบ,kam1 rAp2
กำราล,
กำรู,
กำเริบ,kam1 rZp3
กำเริบเสิบสาน,kam1 rZp3 sZp2 sAn5
กำไร,kam1 raj1
กำไรสุทธิ,kam1 raj1 sut2 Tiʔ4
กำลอง,
กำลัง,kam1 laŋ1
กำลังกาย,kam1 laŋ1 kAj1
กำลังกิน,kam1 laŋ1 kin1
กำลังกินกำลังนอน,
กำลังคน,
กำลังงาน,kam1 laŋ1 ŋAn1
กำลังจะ,kam1 laŋ1 caʔ2
กำลังใจ,kam1 laŋ1 caj1
กำลังช้างเผือก,
กำลังช้างสาร,
กำลังซื้อ,kam1 laŋ1 sW-4
กำลังดี,
กำลังเทียน,
กำลังผลิต,kam1 laŋ1 Paʔ2 lit2
กำลังไฟฟ้า,kam1 laŋ1 faj1 fA-4
กำลังภายใน,kam1 laŋ1 PAj1 naj1
กำลังม้า,kam1 laŋ1 mA-4
กำลังแรงงาน,
กำลังวังชา,kam1 laŋ1 waŋ1 CA-1
กำลังวัวเถลิง,
กำลังสำรอง,kam1 laŋ1 sam5 rXŋ1
กำลังหักแสง,
กำลังเหมาะ,
กำลุง,
กำลูน,
กำเลา,
กำเลาะ,
กำไล,kam1 laj1
กำไลคู่ผี,
กำสรด,kam1 sot2
กำสรวล,kam1 sVn5
กำเสาะ,
กำแสง,
กำหนด,kam1 not2
กำหนดกฎเกณฑ์,kam1 not2 kot2 kEn1
กำหนดการ,kam1 not2 kAn1
กำหนดใจ,
กำหนดให้,kam1 not2 haj3
กำหนัด,kam1 nat2
กำหมัด,kam1 mat2
กำหราก,
กำเหน็จ,
กำแหง,kam1 ŋY-5
กิก,
กิ๊ก,kik4
กิ๊กก๊อก,kik4 kXk4
กิ๊กเสี่ยงสิ่ว,
กิกะ,
กิกะไบต์,
กิ่ง,kiŋ2
กิ่งก้อย,kiŋ2 kXj3
กิ้งก่า,kiŋ3 kA-2
กิ่งก้าน,kiŋ2 kAn3
กิ่งก้านสาขา,kiŋ2 kAn3 sA-5 KA-5
กิ้งกือ,kiŋ3 kW-1
กิ้งกือเหล็ก,
กิ้งโครง,
กิ่งทองใบหยก,kiŋ2 TXŋ1 baj1 jok2
กิงบุรุษ,
กิ่งไม้,kiŋ2 mAj4
กิ่งหาย,
กิ่งอำเภอ,kiŋ2 ʔam1 PZ-1
กิจ,kit2
กิจกรรม,kit2 ca-2 kam1
กิจกรรมเข้าจังหวะ,
กิจกรรมนอกหลักสูตร,
กิจการ,kit2 ca-2 kAn1
กิจการค้า,
กิจการงาน,
กิจการส่วนตัว,
กิจจะ,kit2 caʔ2
กิจจะลักษณะ,kit2 caʔ2 lak4 sa-1 naʔ2
กิจจา,kit2 cA-1
กิจจานุกิจ,kit2 cA-1 nuʔ4 kit2
กิจธุระ,kit2 Tuʔ4 raʔ4
กิจวัตร,kit2 ca-2 wat4
กิจวัตรประจำวัน,kit2 ca-2 wat4 pra-1 cam1 wan1
กิดาการ,
กิดาหยัน,
กิตติ,kit2 ti-2
กิตติกรรมประกาศ,kit2 tiʔ2 kam1 pra-1 kAt2
กิตติคุณ,kit2 tiʔ2 Kun1
กิตติมศักดิ์,kit2 tiʔ2 ma-4 sak2
กิตติศัพท์,kit2 tiʔ2 sap2
กิน,kin1
กินกริบ,
กินกัน,kin1 kan1
กินกำไร,
กินกำลัง,
กินกุ้งน้อย,
กินเกลี้ยง,kin1 klJŋ3
กินเกลียว,
กินเกลือกินกะปิ,
กินแกลบกินรำ,
กินขวา,
กินขาด,
กินข้าว,kin1 KAw3
กินข้าวต้มกระโจมกลาง,
กินข้าวลิง,
กินแขก,
กินความ,kin1 KwAm1
กินเครา,
กินงาย,
กินเจ,kin1 cE-1
กินแจ,
กินใจ,kin1 caj1
กินช้อน,
กินชัน,
กินซ้าย,
กินดอก,
กินดอกเบี้ย,
กินดอง,
กินด่าง,
กินดาย,
กินดิบ,kin1 dip2
กินดีอยู่ดี,kin1 dI-1 jU-2 dI-1
กินตะเกียบ,
กินตัว,
กินตา,
กินตามน้ำ,
กินตำแหน่ง,
กินโต๊ะ,
กินแถว,kin1 Tɛw5
กินทาง,
กินทิ้งกินขว้าง,kin1 Tiŋ4 kin1 KwAŋ3
กินที่,kin1 TI-3
กินที่ลับไขที่แจ้ง,
กินนร,kin1 nXn1
กินนรเก็บบัว,
กินนรฟ้อนโอ่,
กินนรรำ,
กินนรเลียบถ้ำ,
กินนอกกินใน,kin1 nXk3 kin1 naj1
กินนอน,kin1 nXn1
กินน้ำ,
กินน้ำตา,kin1 nAm4 tA-1
กินน้ำตาต่างข้าว,
กินน้ำใต้ศอก,
กินน้ำพริกถ้วยเก่า,kin1 nam4 Prik4 TVj3 kaw2
กินน้ำพริกถ้วยเดียว,
กินน้ำมัน,
กินน้ำไม่เผื่อแล้ง,
กินน้ำลึก,kin1 nAm4 lɯk4
กินน้ำเห็นปลิง,
กินเนส,
กินเนสส์,
กินเนสส์บุ๊ก,kin1 nEt3 buk4
กินเนสส์บุ๊ค,
กินเนื้อที่,
กินใน,
กินบนเรือนขี้บนหลังคา,
กินบวช,
กินบ้านกินเมือง,
กินบ้านผ่านเมือง,
กินบุญ,
กินบุญเก่า,
กินแบ่ง,
กินปลิง,
กินปลี,
กินปิ่นโต,
กินปูนร้อนท้อง,
กินเปล่า,kin1 plAw2
กินเปี้ยว,
กินผัว,
กินเพรา,
กินมือ,
กินเมีย,
กินเมือง,kin1 mRŋ1
กินไม่ลง,kin1 maj3 loŋ1
กินยุง,
กินรวบ,kin1 rVp3
กินรังแตน,kin1 raŋ1 tYn1
กินริน,
กินรินเลียบถ้ำ,
กินรี,kin1 na-4 rI-1
กินรุก,
กินรูป,
กินแรง,kin1 rYŋ1
กินลม,kin1 lom1
กินลมกินแล้ง,
กินลมชมวิว,
กินล้างกินผลาญ,kin1 lAŋ4 kin1 PlAn5
กินลึก,
กินลูกตะกั่ว,kin1 lUk3 taʔ2 kV-2
กินลูกปืน,kin1 lUk3 pWn1
กินเล็กกินน้อย,
กินเลี้ยง,kin1 lJŋ4
กินเวลา,kin1 wE-1 lA-1
กินเศษกินเลย,
กินส้อม,
กินสั่ง,
กินสำรับ,
กินสินบน,kin1 sin5 bon1
กินสี่ถ้วย,
กินเส้น,
กินหน้า,
กินหลัง,
กินหาง,
กินหู้,kin1 hU-3
กินเหนียว,
กินเหมือนหมู อยู่เหมือนหมา,
กินเหล็กกินไหล,kin1 lek2 kin1 laj5
กินแหนง,kin1 nYŋ5
กินแหนงแคลงใจ,kin1 nYŋ5 KlYŋ1 caj1
กินอย่างหมู อยู่อย่างหมา,
กินอยู่กับปาก อยากอยู่กับท้อง,
กินอยู่พูวาย,
กินี,kiʔ2 nI-1
กินูน,
กิ๊บ,kip4
กิ๊บเก๋,kip4 keʔ5
กิ๊ฟช็อป,
กิ๊ฟเซ็ต,
กิฟท์,
กิฟฟารีน,
กิมจ้อ,
กิมจิ,kim1 ciʔ2
กิมตึ๋ง,
กิมิชาติ,
กิมิวิทยา,
กิโมโน,
กิโยตีน,
กิระ,
กิริณี,
กิรินท,
กิรินี,
กิริเนศวร,
กิริยา,kiʔ2 riʔ4 jA-1
กิริยาท่าทาง,kiʔ2 riʔ4 jA-1 TA-3 TAŋ1
กิริยามารยาท,kiʔ2 riʔ4 jA-1 mA-1 ra-4 jAt3
กิริยาสะท้อน,
กิริยาอาการ,kiʔ2 riʔ4 jA-1 ʔA-1 kAn1
กิลเดอร์,
กิเลน,kiʔ2 lEn1
กิเลส,kiʔ2 lEt2
กิเลสมาร,
กิโล,kiʔ2 lO-1
กิโลกรัม,kiʔ2 lO-1 kram1
กิโลแคลลอรี่,
กิโลแคลอรี่,
กิโลไซเกิล,kiʔ2 lO-1 saj1 kZn1
กิโลบิต,
กิโลไบต์,
กิโลมกะ,
กิโลเมตร,kiʔ2 lO-1 met4
กิโลลิตร,kiʔ2 lO-1 lit4
กิโลวัตต์,kiʔ2 lO-1 wat4
กิโลเฮิรตซ์,
กิ่ว,kiw2
กิ๋ว,
กิ๋ว ๆ,
กี,
กี่,kI-2
กี้,kI-3
กี๊,kI-4
กี๋,
กี่กระตุก,
กี่งอำเภอ,
กีฏวิทยา,kIt2 ta-2 wit4 Ta-4 jA-1
กีด,kIt2
กีดกัน,kIt2 kan1
กีดกั้น,kIt2 kan3
กีดขวาง,kIt2 KwAŋ5
กีดหน้าขวางตา,kIt2 nA-3 KwAŋ5 tA-1
กีตาร์,kI-1 tA-1
กีต้าร์,
กี่ทอผ้า,
กีบ,kIp2
กีบแรด,
กี่เพ้า,
กี่มากน้อย,kI-2 mAk3 nXj4
กีรติ,
กีวี,kI-1 wI-1
กีฬา,kI-1 lA-1
กีฬากลางแจ้ง,
กีฬาทางน้ำ,kI-1 lA-1 TAŋ1 nAm4
กีฬาในร่ม,
กึก,kɯk2
กึ๊ก,
กึกก้อง,kɯk2 kXŋ3
กึกกัก,kɯk2 kak2
กึกกือ,
กึง,
กึ่ง,kɯŋ2
กึ่งกลาง,kɯŋ2 klAŋ1
กึงกัง,
กึ่งทางการ,kɯŋ2 TAŋ1 kAn1
กึ่งพุทธกาล,
กึ่งราชการ,kɯŋ2 rAt3 Ca-4 kAn1
กึ่งโลหะ,
กึ่งหนึ่ง,
กึ๋น,kɯn5
กึ๋ย,kɯj5
กุ,kuʔ2
กุก,
กุ๊ก,kuk4
กุก ๆ กัก ๆ,
กุ๊ก ๆ กิ๊ก ๆ,
กุกๆ กักๆ,
กุกกัก,
กุ๊กกิ๊ก,kuk4 kik4
กุกกุฏ,
กุกกุร,
กุกขี้หมู,
กุกรรม,
กุก่อง,
กุกะ,
กุกะมะเทิ่ง,
กุกุธภัณฑ์,
กุ้ง,kuŋ3
กุ้งก้ามกราม,kuŋ3 kAm3 krAm1
กุ๊งกิ๊ง,
กุ้งชุบแป้งทอด,
กุ้งแช่น้ำปลา,
กุ้งดีด,
กุ้งดีดขัน,
กุ้งเต้น,
กุ้งนาง,
กุ้งปล้อง,
กุ้งฝอย,kuŋ3 fXj5
กุ้งฟัด,
กุ้งมังกร,kuŋ3 maŋ1 kXn1
กุ้งไม้,
กุ้งยิง,
กุ้งส้ม,
กุ้งหนามใหญ่,
กุ้งหลวง,
กุ้งหัวโขน,
กุ้งเหลือง,
กุ้งเหลืองหางฟ้า,
กุ้งแห,
กุ้งแห้ง,
กุงอน,
กุงาน,
กุโงก,
กุจี,
กุญแจ,kun1 cY-1
กุญแจกล,
กุญแจประจำหลัก,
กุญแจปากตาย,kun1 cY-1 pAk2 tAj1
กุญแจผี,
กุญแจมือ,kun1 cY-1 mW-1
กุญแจรหัส,kun1 cY-1 ra-4 hat2
กุญแจเลื่อน,kun1 cY-1 lRn3
กุญแจสายยู,
กุญแจเสียง,kun1 cY-1 sJŋ5
กุญแจแหวน,
กุญชร,kun1 CXn1
กุญชรเกษม,
กุฎ,
กุฎฐัง,
กุฎา,
กุฎาคาร,kuʔ2 dA-1 KAn1
กุฎาธาร,
กุฎี,kuʔ2 dI-1
กุฎุมพี,
กุฏฐัง,kut2 Taŋ5
กุฏไต,
กุฏิ,kut2
กุฏุมพี,
กุณฑ์,kun1
กุณฑล,kun1 Ton1
กุณฑี,kun1 TI-1
กุณโฑ,kun1 TO-1
กุณาล,
กุณิ,
กุณี,
กุด,kut2
กุดจี่,
กุดัง,ku-1 daŋ1
กุดั่น,kuʔ2 dan2
กุดา,
กุทัณฑ์,
กุน,kun1
กุ๊น,kun4
กุนเชียง,
กุนซือ,kun1 sW-1
กุนที,
กุโนกามอ,
กุบ,
กุบกับ,
กุบไล,
กุม,kum1
กุ่ม,
กุมขมับ,kum1 Ka-2 map2
กุมฝอย,
กุมภ,
กุมภ์,kum1
กุมภกรรณ,
กุมภการ,
กุมภนิยา,
กุมภัณฑ์,
กุมภัณฑยักษ์,
กุมภา,
กุมภาพันธ์,kum1 PA-1 Pan1
กุมภิล,
กุมภีล์,
กุมมือ,
กุมลัคน์,
กุมเหง,
กุมอำนาจ,kum1 ʔam1 nAt3
กุมาร,kuʔ2 mAn1
กุมารแพทย์,kuʔ2 mAn1 PYt3
กุมารเวชศาสตร์,
กุมารา,
กุมาริกา,
กุมารี,kuʔ2 mA-1 rI-1
กุมุท,
กุย,kuj1
กุ๊ย,kuj4
กุ๋ย,
กุ๋ย ๆ,
กุยฉ่าย,
กุยช่าย,kuj1 CAj3
กุยเฮง,
กุรข่า,
กุรระ,
กุระ,
กุรุง,
กุรุพินท์,
กุรุระ,
กุรุส,
กุเรา,
กุเรื่อง,kuʔ2 rRŋ3
กุล,kun1
กุลทูสก,
กุลธิดา,kun1 Tiʔ4 dA-1
กุลบดี,
กุลบุตร,kun1 la-4 but2
กุลสตรี,kun1 laʔ4 sat2 rI-1
กุลสัมพันธ์,
กุลา,kuʔ2 lA-1
กุลาซ่อนผ้า,
กุลาดำ,kuʔ2 lA-1 dam1
กุลาตีไม้,
กุลาตีอก,
กุลาลาย,
กุลาหล,
กุลี,kuʔ2 lI-1
กุลีกุจอ,kuʔ2 lI-1 kuʔ2 cX-1
กุเลา,ku-1 law1
กุแล,
กุเวร,
กุศราช,
กุศล,kuʔ2 son5
กุศลกรรม,kuʔ2 son5 laʔ4 kam1
กุศลกรรมบถ,
กุศลจิต,
กุศลเจตนา,kuʔ2 son5 cEt2 ta-2 nA-1
กุศลผลบุญ,
กุศโลบาย,kut2 sa-1 lO-1 bAj1
กุสล,
กุสินารา,
กุสุม,
กุสุมภ์,
กุสุมวิจิตร,
กุสุมา,
กุสุมาลย์,
กุสุมิตลดาเวลลิตา,
กุหนี,
กุหนุง,
กุหร่า,
กุหล่า,
กุหลาบ,kuʔ2 lAp2
กุแหละ,
กู,kU-1
กู่,kU-2
กู้,kU-3
กู๋,
กู๊ก,
กูเกิล,kU-1 kZn1
กูเกิ้ล,kU-1 kZn3
กู้เงิน,kU-3 ŋən1
กู่เจิง,
กู้ชาติ,kU-3 CAt3
กูฏ,
กูฏา,
กูฏาคาร,kU-1 tA-1 KAn1
กูณฑ์,
กูด,kUt2
กู๊ดบาย,
กู๊ดโฮบ,
กูเตนเบิร์ก,
กูน,
กูแนบูเก๊ะ,
กูบ,
กูปรี,
กู้ภัย,
กู่ไม่กลับ,kU-2 maj3 klap2
กู้ยืม,kU-3 jWm1
กูรข่า,
กูรมะ,
กูรมาวตาร,
กูรำ,
กูรู,kU-1 rU-1
กู้เรือ,kU-3 rR-1
กูลิโกะ,
กู้หน้า,kU-3 nA-3
